7.461012e+02 8.93e-24 8.93e-24 1.44e-21 4.38e-16 2.22e-11 8.22e-07 2.01e-03 9.98e-01
1.182491e+03 8.93e-24 8.93e-24 1.44e-22 6.95e-17 5.58e-12 3.27e-07 1.27e-03 9.99e-01
1.874121e+03 8.93e-24 8.93e-24 1.44e-23 1.10e-17 1.40e-12 1.30e-07 8.01e-04 9.99e-01
2.970282e+03 8.93e-24 8.93e-24 8.93e-24 1.75e-18 3.53e-13 5.19e-08 5.06e-04 9.99e-01
4.707580e+03 8.93e-24 8.93e-24 8.93e-24 2.77e-19 8.86e-14 2.07e-08 3.19e-04 1.00e+00
7.461012e+03 8.93e-24 8.93e-24 8.93e-24 4.39e-20 2.23e-14 8.23e-09 2.01e-04 1.00e+00
1.182491e+04 8.93e-24 8.93e-24 8.93e-24 6.96e-21 5.59e-15 3.28e-09 1.27e-04 1.00e+00
1.874121e+04 8.93e-24 8.93e-24 8.93e-24 1.10e-21 1.40e-15 1.30e-09 8.02e-05 1.00e+00
2.970282e+04 8.93e-24 8.93e-24 8.93e-24 1.75e-22 3.53e-16 5.19e-10 5.06e-05 1.00e+00
4.707580e+04 8.93e-24 8.93e-24 8.93e-24 2.77e-23 8.86e-17 2.07e-10 3.19e-05 1.00e+00
7.461012e+04 8.93e-24 8.93e-24 8.93e-24 8.93e-24 2.23e-17 8.23e-11 2.01e-05 1.00e+00
1.182491e+05 8.93e-24 8.93e-24 8.93e-24 8.93e-24 5.59e-18 3.28e-11 1.27e-05 1.00e+00
1.874121e+05 8.93e-24 8.93e-24 8.93e-24 8.93e-24 1.40e-18 1.30e-11 8.02e-06 1.00e+00
2.970282e+05 8.93e-24 8.93e-24 8.93e-24 8.93e-24 3.53e-19 5.19e-12 5.06e-06 1.00e+00
4.707580e+05 8.93e-24 8.93e-24 8.93e-24 8.93e-24 8.86e-20 2.07e-12 3.19e-06 1.00e+00
7.461012e+05 8.93e-24 8.93e-24 8.93e-24 8.93e-24 2.23e-20 8.23e-13 2.01e-06 1.00e+00
1.182491e+06 8.93e-24 8.93e-24 8.93e-24 8.93e-24 5.59e-21 3.28e-13 1.27e-06 1.00e+00
1.874121e+06 8.93e-24 8.93e-24 8.93e-24 8.93e-24 1.40e-21 1.30e-13 8.02e-07 1.00e+00
2.970282e+06 8.93e-24 8.93e-24 8.93e-24 8.93e-24 3.53e-22 5.19e-14 5.06e-07 1.00e+00
4.707580e+06 8.93e-24 8.93e-24 8.93e-24 8.93e-24 8.86e-23 2.07e-14 3.19e-07 1.00e+00
